Name,Subtotal,Shipping,Taxes,Total,Created at,Billing City,Billing Zip,Billing Province,Billing Country
#1030,88.88,11.75,9.15,100.63,2014-11-25 14:45:53 +1100,Darwin,'0812,NT,AU
#1948,14.99,10.3,2.3,25.29,2016-12-13 11:45:08 +1100,Darwin,'0820,NT,AU
#2104,57.98,15.2,6.65,73.18,2017-04-24 20:43:35 +1000,Wadeye,'0822,NT,AU
#1848,18,0,0,18,2016-12-01 12:50:19 +1100,BELLAMACK,'0832,NT,AU
#1847,19.99,14.45,3.13,34.44,2016-12-01 11:08:28 +1100,JOHNSTON,'0832,NT,AU
#1844,59.99,23.75,7.61,83.74,2016-11-30 08:24:48 +1100,BELLAMACK,'0832,NT,AU
#1168,29.97,14.45,4.04,44.42,2015-07-16 15:24:33 +1000,Johnston,'0832,NT,AU
#1270,40.8,13.05,4.9,53.85,2015-11-14 21:39:59 +1100,Howard Springs,'0835,NT,AU
#1897,34.99,13.05,4.37,48.04,2016-12-07 16:11:26 +1100,Berry Springs,'0838,NT,AU
#1983,35.93,10.3,4.2,46.23,2017-01-05 18:12:06 +1100,Alice Springs,'0870,NT,AU
#1124,58.5,11.8,6.39,70.3,2015-05-15 13:48:58 +1000,Alice Springs,'0870,NT,AU
#1888,74.97,23.75,8.97,98.72,2016-12-06 18:10:28 +1100,Nhulunbuy,'0881,NT,AU
#1125,94.36,13.05,9.76,107.41,2015-05-16 18:00:09 +1000,Nhulunbuy,'0881,NT,AU
#1749,29.99,8,3.45,37.99,2016-11-09 21:17:35 +1100,Jabiru,'0886,NT,AU
#1734,138.87,34,15.72,172.87,2016-11-04 13:23:16 +1100,JABIRU,'0886,NT,AU
#1378,70.29,16.25,7.87,86.54,2015-12-18 08:30:22 +1100,Australis Square,'1215,NSW,AU
#1183,22.95,8,0.73,30.95,2015-08-08 14:52:18 +1000,Ingleburn,'1890,NSW,AU
#2022,32.99,9.79,3.89,42.78,2017-02-05 19:26:09 +1100,Sydney,'2000,NSW,AU
#1409,17.95,8,1.63,17.95,2016-01-20 13:20:26 +1100,Sydney,'2000,NSW,AU
#1408,82.88,30,7.53,82.88,2016-01-20 11:04:33 +1100,Sydney,'2000,NSW,AU
#1318,85.94,30,10.54,115.94,2015-12-02 11:16:14 +1100,SYDNEY,'2000,NSW,AU
#1276,21.85,30,4.71,51.85,2015-11-17 09:50:15 +1100,Sydney,'2000,NSW,AU
#1201,31.99,13.05,4.09,45.04,2015-09-06 19:19:33 +1000,Sydney,'2000,NSW,AU
#1112,25.95,7.5,0.68,33.45,2015-04-28 11:10:54 +1000,Sydney,'2000,NSW,AU
#1022,49.95,7.5,5.22,57.45,2014-11-12 21:42:08 +1100,sydney,'2000,NT,AU
#1359,57.98,16.25,6.75,74.23,2015-12-12 11:52:14 +1100,Sydney,'2001,NSW,AU
#1576,9.95,10.3,1.84,20.25,2016-08-08 14:11:26 +1000,Sydney,'2007,NSW,AU
#2089,49.98,8.2,5.29,58.18,2017-03-31 09:59:35 +1100,Pyrmont Sydney,'2009,NSW,AU
#1255,63.92,16.25,7.29,80.17,2015-11-04 13:15:42 +1100,Pyrmont,'2009,NSW,AU
#1619,24.99,8,3,32.99,2016-09-01 12:31:07 +1000,sydney,'2010,NSW,AU
